epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.7117,1.84982,1.89745,1.33956,0.59461,0.37833,0.42293,0.19892,1.76726,1.60353,1.28979,0.0671111,0.000332211,0.000332211
2,140.444,1.70455,1.48693,1.26463,0.67188,0.47575,0.53559,0.26613,1.67205,1.31943,1.22118,0.0341045,0.000658955,0.000658955
3,210.117,1.6686,1.40072,1.2479,0.75562,0.48801,0.55209,0.27949,1.67234,1.27105,1.22396,0.00109133,0.0009791,0.0009791
4,276.806,1.64793,1.35496,1.23986,0.6346,0.51121,0.56421,0.28572,1.65232,1.29869,1.22882,0.0009703,0.0009703,0.0009703
5,355.559,1.6265,1.32303,1.22695,0.65874,0.53609,0.55935,0.25661,1.70653,1.47249,1.23968,0.0009604,0.0009604,0.0009604
6,423.337,1.60846,1.30283,1.2188,0.68593,0.56797,0.60157,0.29107,1.67855,1.2283,1.22574,0.0009505,0.0009505,0.0009505
7,490.426,1.59006,1.25984,1.20964,0.68637,0.57344,0.61982,0.33101,1.55026,1.09997,1.1523,0.0009406,0.0009406,0.0009406
8,554.335,1.59675,1.2514,1.2111,0.72756,0.5738,0.63687,0.34004,1.55314,1.17036,1.17975,0.0009307,0.0009307,0.0009307
9,618.259,1.58763,1.2675,1.21462,0.71211,0.58609,0.6454,0.35185,1.52461,1.10635,1.15274,0.0009208,0.0009208,0.0009208
10,687.568,1.56436,1.21198,1.19178,0.72196,0.60143,0.65651,0.34796,1.56238,1.08975,1.15596,0.0009109,0.0009109,0.0009109
11,758.642,1.54913,1.18728,1.1851,0.7287,0.62957,0.68483,0.37274,1.5487,1.11281,1.16669,0.000901,0.000901,0.000901
12,830.793,1.56067,1.19123,1.18242,0.76907,0.62893,0.69731,0.37414,1.5497,1.07681,1.16344,0.0008911,0.0008911,0.0008911
13,905.242,1.53411,1.17312,1.17135,0.79157,0.61616,0.69305,0.37937,1.50746,1.04056,1.13772,0.0008812,0.0008812,0.0008812
14,980.312,1.5584,1.17801,1.19132,0.74482,0.63563,0.69021,0.35402,1.59197,1.12637,1.16209,0.0008713,0.0008713,0.0008713
15,1052.09,1.51402,1.15189,1.16807,0.78428,0.65927,0.7392,0.40365,1.52314,0.99999,1.13689,0.0008614,0.0008614,0.0008614
16,1126.7,1.50571,1.12387,1.15541,0.73796,0.63292,0.69681,0.39141,1.48399,1.00843,1.11435,0.0008515,0.0008515,0.0008515
17,1202.35,1.50822,1.09656,1.15908,0.78181,0.62998,0.7232,0.39902,1.49374,1.01994,1.12336,0.0008416,0.0008416,0.0008416
18,1275.56,1.5095,1.12169,1.16602,0.79633,0.64742,0.72428,0.39496,1.48544,1.05904,1.13217,0.0008317,0.0008317,0.0008317
19,1347.36,1.50281,1.10254,1.15406,0.75206,0.65104,0.72177,0.39535,1.49863,1.00338,1.12698,0.0008218,0.0008218,0.0008218
20,1419.27,1.49143,1.07438,1.15254,0.80635,0.65881,0.73811,0.41483,1.44462,0.94001,1.11435,0.0008119,0.0008119,0.0008119
21,1490.75,1.49734,1.09613,1.15733,0.79777,0.6719,0.74672,0.42172,1.45132,0.91905,1.10973,0.000802,0.000802,0.000802
22,1563.88,1.48813,1.08086,1.152,0.76248,0.68525,0.7477,0.42211,1.43876,0.98671,1.1044,0.0007921,0.0007921,0.0007921
23,1639.79,1.49317,1.09063,1.15069,0.63021,0.68838,0.59961,0.33406,1.44768,1.13366,1.10833,0.0007822,0.0007822,0.0007822
24,1716.07,1.47022,1.05973,1.13337,0.78291,0.70147,0.7737,0.43637,1.45242,0.98302,1.10453,0.0007723,0.0007723,0.0007723
25,1792.88,1.46523,1.05126,1.13817,0.76584,0.68793,0.76118,0.42922,1.46648,0.93249,1.11473,0.0007624,0.0007624,0.0007624
26,1873.18,1.47479,1.05462,1.13806,0.79444,0.66993,0.74621,0.418,1.43791,0.92553,1.10214,0.0007525,0.0007525,0.0007525
27,1946.81,1.47022,1.04207,1.14358,0.78387,0.71534,0.77418,0.43926,1.47091,0.90587,1.10588,0.0007426,0.0007426,0.0007426
28,2020.18,1.4646,1.03808,1.13427,0.79113,0.70825,0.78008,0.42678,1.50632,0.94156,1.12148,0.0007327,0.0007327,0.0007327
29,2095.27,1.4704,1.03959,1.13414,0.78517,0.68511,0.77348,0.44482,1.40827,0.89878,1.08717,0.0007228,0.0007228,0.0007228
30,2164.91,1.45727,1.04359,1.13424,0.80733,0.70654,0.78529,0.45225,1.4188,0.88069,1.08537,0.0007129,0.0007129,0.0007129
31,2229.96,1.47053,1.03832,1.14122,0.78016,0.69718,0.75603,0.42682,1.43454,0.9211,1.09326,0.000703,0.000703,0.000703
32,2295.12,1.44496,1.0176,1.12687,0.84022,0.71133,0.80038,0.45271,1.43946,0.90476,1.09369,0.0006931,0.0006931,0.0006931
33,2360.54,1.45735,1.03238,1.12522,0.81825,0.73249,0.8046,0.46457,1.39036,0.88356,1.07697,0.0006832,0.0006832,0.0006832
34,2425.87,1.44226,1.01076,1.12875,0.81381,0.71571,0.78897,0.44745,1.40472,0.89278,1.08596,0.0006733,0.0006733,0.0006733
35,2490.02,1.43075,0.99213,1.12016,0.82984,0.72601,0.81819,0.48156,1.38567,0.87466,1.07973,0.0006634,0.0006634,0.0006634
36,2554.22,1.4452,1.00195,1.12514,0.78621,0.7281,0.79452,0.46696,1.37873,0.91166,1.07134,0.0006535,0.0006535,0.0006535
37,2618.18,1.44298,1.00467,1.12625,0.79459,0.73478,0.80272,0.45044,1.46454,0.91003,1.10871,0.0006436,0.0006436,0.0006436
38,2691.76,1.42202,0.97305,1.11642,0.84095,0.72093,0.81715,0.47034,1.40809,0.86596,1.08712,0.0006337,0.0006337,0.0006337
39,2765.03,1.43819,0.98596,1.12382,0.79242,0.72561,0.79593,0.45323,1.41051,0.87422,1.0807,0.0006238,0.0006238,0.0006238
40,2833.09,1.42695,0.98062,1.11712,0.82395,0.73912,0.81884,0.48612,1.37521,0.84521,1.06631,0.0006139,0.0006139,0.0006139
41,2910.09,1.41633,0.96938,1.11498,0.82041,0.74269,0.82381,0.48169,1.38243,0.85783,1.07209,0.000604,0.000604,0.000604
42,2987.79,1.40595,0.96309,1.11122,0.83192,0.74752,0.82737,0.48229,1.38108,0.83592,1.07314,0.0005941,0.0005941,0.0005941
43,3053.1,1.42788,0.96119,1.11451,0.80463,0.73776,0.81257,0.46596,1.43335,0.87413,1.08674,0.0005842,0.0005842,0.0005842
44,3120.82,1.41059,0.96239,1.10424,0.83769,0.75621,0.83157,0.49698,1.36372,0.83909,1.06152,0.0005743,0.0005743,0.0005743
45,3185.93,1.42113,0.96184,1.10515,0.8112,0.7487,0.82036,0.48928,1.35857,0.82487,1.059,0.0005644,0.0005644,0.0005644
46,3249.98,1.41842,0.95943,1.11487,0.82106,0.74747,0.82428,0.4875,1.36189,0.83064,1.06158,0.0005545,0.0005545,0.0005545
47,3317.23,1.4024,0.93969,1.10416,0.84192,0.75346,0.83562,0.49716,1.35884,0.81854,1.05927,0.0005446,0.0005446,0.0005446
48,3381.12,1.39838,0.92633,1.09533,0.82702,0.75936,0.83419,0.48789,1.38718,0.80851,1.06966,0.0005347,0.0005347,0.0005347
49,3445.67,1.40698,0.94956,1.104,0.81576,0.75427,0.82895,0.49107,1.37232,0.8211,1.06325,0.0005248,0.0005248,0.0005248
