                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8666,                 2.0104,                 1.4166,                0.61453,                0.34277,                0.38286,                0.17451,                 2.0283,                 1.5601,                 1.3968,              0.0033182,              0.0033182,              0.0033182
                      2,                 1.6072,                 1.2622,                 1.1938,                0.71895,                0.54325,                0.61517,                0.33522,                 1.4822,                 1.0681,                  1.117,              0.0066296,              0.0066296,              0.0066296
                      3,                 1.6101,                 1.2628,                 1.1899,                0.54314,                0.43593,                0.43621,                0.22669,                 1.6491,                 1.7065,                 1.2087,              0.0099189,              0.0099189,              0.0099189
                      4,                 1.6181,                 1.2765,                 1.2023,                0.73206,                0.40795,                 0.4792,                0.26746,                 1.5917,                 1.6929,                 1.1706,               0.009901,               0.009901,               0.009901
                      5,                 1.5621,                 1.1914,                  1.185,                0.69785,                0.56743,                0.62104,                0.35988,                 1.4003,                 1.0564,                 1.1028,               0.009868,               0.009868,               0.009868
                      6,                 1.5174,                 1.1384,                 1.1701,                0.74819,                0.57206,                0.64502,                0.37777,                 1.3919,                0.96516,                 1.1047,               0.009835,               0.009835,               0.009835
                      7,                 1.4842,                 1.0844,                 1.1583,                0.74508,                0.61582,                0.68314,                0.35982,                 1.6446,                0.98592,                 1.1866,               0.009802,               0.009802,               0.009802
                      8,                 1.4638,                 1.0637,                   1.15,                0.76066,                0.59382,                0.67476,                0.38306,                 1.4582,                0.98294,                 1.1255,               0.009769,               0.009769,               0.009769
                      9,                 1.4516,                 1.0494,                 1.1452,                0.76254,                0.64907,                0.71449,                0.43504,                 1.3168,                0.92144,                 1.0736,               0.009736,               0.009736,               0.009736
                     10,                 1.4378,                 1.0209,                 1.1362,                0.77402,                0.66662,                 0.7439,                0.45122,                 1.3257,                0.83719,                 1.0806,               0.009703,               0.009703,               0.009703
                     11,                 1.4228,                 1.0092,                 1.1329,                0.76851,                0.68366,                0.75123,                0.45153,                 1.3469,                0.81843,                 1.0904,                0.00967,                0.00967,                0.00967
                     12,                 1.4156,                0.99711,                 1.1343,                0.76711,                 0.6639,                0.74072,                0.43706,                 1.4074,                0.81762,                 1.1049,               0.009637,               0.009637,               0.009637
                     13,                 1.4024,                0.98153,                 1.1243,                0.78235,                 0.6885,                0.76181,                0.47284,                 1.2231,                0.76478,                 1.0426,               0.009604,               0.009604,               0.009604
                     14,                  1.398,                0.97265,                 1.1218,                0.79397,                 0.6755,                0.75596,                0.47225,                 1.2737,                0.76576,                 1.0662,               0.009571,               0.009571,               0.009571
                     15,                 1.3872,                 0.9613,                 1.1182,                0.79831,                0.71342,                0.78918,                0.49911,                 1.2163,                0.72869,                 1.0371,               0.009538,               0.009538,               0.009538
                     16,                 1.3726,                0.94924,                 1.1117,                0.80052,                0.70275,                0.78625,                0.49379,                 1.2429,                0.73509,                 1.0495,               0.009505,               0.009505,               0.009505
                     17,                 1.3633,                 0.9373,                 1.1134,                0.79851,                0.69063,                0.77077,                0.49211,                 1.2404,                0.72945,                 1.0448,               0.009472,               0.009472,               0.009472
                     18,                   1.37,                0.94156,                 1.1103,                0.80014,                0.71079,                0.78964,                0.51284,                 1.1943,                0.70254,                 1.0354,               0.009439,               0.009439,               0.009439
                     19,                 1.3619,                 0.9349,                 1.1078,                0.81167,                0.72327,                0.79889,                0.51686,                 1.1647,                0.71474,                 1.0227,               0.009406,               0.009406,               0.009406
                     20,                 1.3503,                0.91751,                 1.1049,                0.80259,                0.72364,                0.79612,                0.49857,                 1.2403,                0.71094,                  1.041,               0.009373,               0.009373,               0.009373
                     21,                 1.3438,                0.91015,                 1.1016,                 0.8275,                0.71515,                0.80723,                0.51665,                 1.1902,                0.70324,                 1.0276,                0.00934,                0.00934,                0.00934
                     22,                 1.3354,                0.90356,                 1.0948,                 0.8137,                0.73266,                0.80907,                 0.5302,                 1.1638,                0.68679,                  1.019,               0.009307,               0.009307,               0.009307
